"CAPM_Beta ?@?~ -- 20171229,20161230,20151231,20141231",,,,
,,,,
?????N?X,29/12/2017,30/12/2016,31/12/2015,31/12/2014
2408 ?n????,1.4171,0.8144,1.2308,1.3951
2409 ???F,0.8287,1.2131,1.3577,1.6369
2412 ?????q,0.3014,0.3529,0.3006,0.2973
2413 ????,1.0932,1.0073,1.169,1.2054
2414 ????,0.3427,0.3287,0.7436,0.6262
2415 ???s,1.4691,1.1193,1.2531,0.9375
2417 ????,0.7775,0.6186,0.7476,0.6986
2419 ???a,0.6278,0.7634,0.9532,1.0967
2420 ?s??,0.3335,0.8012,0.8434,1.2878
2421 ????,0.8012,0.9712,0.8665,0.5558
2423 ?T?n,0.5131,0.4188,0.6097,0.3107
2424 ????,0.6324,0.3412,0.561,0.4475
2425 ????,0.0796,0.3678,0.4658,1.0244
2426 ????,1.1253,0.9842,1.3056,1.3501
2427 ?T???q,0.3429,0.5615,1.1672,1.1416
2428 ????,1.3049,0.959,0.7795,1.1509
2429 ??????,-0.1694,-0.589,0.1123,-0.0866
2430 ???[,0.1368,0.449,0.6351,0.6814
2431 ?p??,1.0543,1.1265,1.5993,0.9101
2433 ?????q,0.1807,0.2504,0.3175,0.2974
2434 ????,0.1739,0.2706,1.1836,0.8098
2436 ?????q,1.288,1.561,1.2558,1.421
2438 ????,0.5153,0.2676,0.6534,0.6996
2439 ????,1.8351,1.5299,1.5144,1.7764
2440 ??????,0.6452,0.4763,0.5745,0.703
2441 ?W??,0.482,0.6413,0.9179,0.9444
2442 ?s????,0.9789,0.7865,0.7784,0.5751
2443 ?s?Q?i,0.5177,0.4541,-0.0015,0.4953
2444 ????,0.1304,1.3566,0.9427,0.6336
2448 ???q,1.714,1.1084,1.6382,1.309
2449 ?????q?l,1.0201,0.6539,0.7434,1.1815
2450 ????,0.2822,0.3707,0.6733,0.5941
2451 ????,0.6372,0.8184,1.0766,0.7429
2453 ???s,1.2996,0.6123,0.9476,1.0152
2454 ?p?o??,1.5425,1.5137,1.4489,1.1304
2455 ???s,0.9025,0.7555,1.2677,1.0039
2456 ?_?O?s,1.2943,1.0599,1.4982,0.9672
2457 ????,1.0385,1.1643,1.2542,1.3632
2458 ?q??,1.0662,1.0195,1.2529,0.8383
2459 ???N,0.6948,0.4657,0.6326,0.6954
2460 ???q,1.0507,0.4247,0.746,0.9718
2461 ???s?p,0.6385,0.6662,0.2682,0.746
2462 ?}?o?q,0.8103,0.6007,0.8882,0.7452
2464 ????,0.9665,0.8277,0.6556,0.9725
2465 ?R?O,0.8724,0.6903,0.9952,0.9669
2466 ?a???q,0.3065,0.1791,0.3227,0.3093
2467 ???t,1.0458,0.4608,0.945,1.112
2468 ???g,0.4327,0.3441,0.4726,1.1721
2471 ???q,0.4572,0.4529,0.8948,0.8957
2472 ?????q,1.1526,1.0338,1.0725,0.9993
2474 ?i??,1.7127,1.8734,1.278,1.6173
2475 ???M,0.6981,0.8191,0.8574,0.7132
2476 ?d??,0.6008,0.5629,0.7872,0.3466
2477 ?????q,1.123,0.682,0.8561,0.8687
2478 ?j??,1.3512,0.4362,0.6793,0.9169
2480 ??????,0.3357,0.4357,0.6691,0.4922
2481 ?j?Z,1.1642,1.1674,1.255,0.6312
2482 ?s?t,0.3354,1.051,0.717,0.1122
2483 ???e,0.4286,0.5326,0.6923,0.8022
2484 ????,1.0205,1.138,1.3511,1.1282
2485 ????,0.753,0.9404,0.8593,0.9332
2486 ?@??,1.3146,0.7391,0.95,1.0163
2488 ?~??,0.7953,0.8165,1.1119,1.2268
2489 ???a,0.4048,0.5226,0.4692,0.7627
2491 ?N????,-0.1203,0.6328,1.0057,0.6626
2492 ???s??,1.3021,1.3088,1.2679,1.1856
2493 ????,0.3277,0.4462,0.7737,0.5531
2495 ???w,0.5018,0.5588,0.7766,0.7122
2496 ???V,0.7783,-0.0473,0.3964,0.6971
2497 ???Q?q,0.6202,0.7083,1.0314,1.211
2498 ???F?q,0.6528,1.6814,1.1825,0.9637
2499 ?F??,0.94,0.9999,1.6443,1.027
2501 ????,0.9172,0.5608,0.7291,0.1754
2504 ????,0.7723,0.6003,0.7655,0.4483
2505 ????,0.5891,0.3984,0.833,0.2966
2506 ???],0.3258,0.0896,0.6657,0.3357
2509 ???[??,0.2396,0.2189,0.2316,0.3445
2511 ???l,0.5694,0.6132,0.7291,0.843
2514 ?s??,0.4432,0.2035,0.4547,0.7697
2515 ???u,0.5811,0.7177,0.7381,0.6455
2516 ?s??,0.4997,0.4139,0.5846,0.2556
2520 ?a?w,1.141,0.8517,1.0377,0.6296
2524 ????,0.3456,0.2777,0.5102,0.4627
2527 ???[,0.4499,0.506,0.4466,0.3942
2528 ????,0.1745,0.4493,0.1905,0.382
2530 ????,0.4321,0.2071,0.4763,0.4762
2534 ????,0.4165,0.6502,0.7239,0.5302
2535 ?F?Y?u,0.2362,0.4437,0.5715,0.4307
2536 ????,0.1054,0.4386,0.4816,0.5067
2537 ?p?W?o,0.278,0.372,0.4857,0.2838
2538 ????,0.5342,0.6588,0.5419,0.5209
2539 ??????,0.1776,0.3301,0.6963,0.4343
2540 ?R?s?L,0.3604,0.4584,-0.0065,0.2992
2542 ???I?o,0.594,0.9634,0.7996,0.42
2543 ????,0.063,0.2585,0.2669,0.1003
2545 ????,0.5144,0.8526,0.802,0.5473
2546 ????,0.2546,0.3319,0.6024,0.3214
2547 ??????,0.6563,0.519,0.6252,0.8242
2548 ???T,0.3775,0.6577,0.5448,0.7515
2597 ????,0.2558,0.3791,0.9181,0.2502
2601 ?q??,0.6595,0.7463,1.0664,1.026
2603 ???a,0.7582,0.9443,0.9261,0.8896
2605 ?s??,0.8419,0.5443,0.5886,0.6401
2606 ????,1.2067,0.6975,1.0178,0.7997
2607 ?a?B,0.5673,0.4159,0.7433,0.7198
2608 ?j?a,0.4087,0.2353,0.2705,0.6837
2609 ????,0.9457,0.7162,1.1679,1.0126
2610 ????,0.67,0.6202,0.7313,0.556
2611 ???H,0.315,0.3203,0.6476,0.4638
2612 ????,0.9126,0.6586,0.8492,0.5772
2613 ???d,0.3074,0.2188,0.6573,0.7971
2614 ?F??,0.5457,0.9371,1.3198,1.0085
2615 ?U??,0.7172,0.7392,1.0197,0.964
2616 ?s??,0.3498,0.136,0.2603,0.2387
2617 ?x??,0.7483,0.6361,0.828,0.7328
2618 ???a??,0.4865,0.5678,0.686,0.7251
2630 ????,NA,NA,NA,NA
2633 ?x?W???K,0.3059,-0.3743,NA,NA
2634 ?~??,0.2707,0.5289,0.7509,0.797
2636 ?x?~????,0.4502,NA,1.0451,0.8435
